span_id,text,scope.actor,scope.domain,scope.context,hazard,requirement,exceptions,conditions,is_testable,evidence_signals,evidence,rule_id
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0020,"(A)
If, and to the extent, permitted or required by an applicable provision of State or other law,
including applicable case law, a covered entity may disclose, or provide access in
accordance with § 164.524 to, protected health information about an unemancipated
minor to a parent, guardian, or other person acting in loco parentis;
(B)
If, and to the extent, prohibited by an applicable provision of State or other law, including
applicable case law, a covered entity may not disclose, or provide access in accordance
with § 164.524 to, protected health information about an unemancipated minor to a
parent, guardian, or other person acting in loco parentis; and
(C)
Where the parent, guardian, or other person acting in loco parentis, is not the personal
representative under paragraphs (g)(3)(i)(A), (B), or (C) of this section and where there is
no applicable access provision under State or other law, including case law, a covered
entity may provide or deny access under § 164.524 to a parent, guardian, or other person
acting in loco parentis, if such action is consistent with State or other applicable law,
provided that such decision must be made by a licensed health care professional, in the
exercise of professional judgment. (4)
Implementation specification: Deceased individuals. If under applicable law an executor,
administrator, or other person has authority to act on behalf of a deceased individual or of the
individual's estate, a covered entity must treat such person as a personal representative under this
subchapter, with respect to protected health information relevant to such personal representation. (5)
Implementation specification: Abuse, neglect, endangerment situations.",practitioner,null,regulated,unqualified PHI access decision for a minor,A practitioner must make the decision to provide or deny a parent or guardian access to an unemancipated minor's protected health information in the exercise of professional judgment.,null,parent or guardian is not the personal representative; no applicable access provision under State or other law,TRUE,log_check; attest_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0020,"(A)
If, and to the extent, permitted or required by an applicable provision of State or other law,
including applicable case law, a covered entity may disclose, or provide access in
accordance with § 164.524 to, protected health information about an unemancipated
minor to a parent, guardian, or other person acting in loco parentis;
(B)
If, and to the extent, prohibited by an applicable provision of State or other law, including
applicable case law, a covered entity may not disclose, or provide access in accordance
with § 164.524 to, protected health information about an unemancipated minor to a
parent, guardian, or other person acting in loco parentis; and
(C)
Where the parent, guardian, or other person acting in loco parentis, is not the personal
representative under paragraphs (g)(3)(i)(A), (B), or (C) of this section and where there is
no applicable access provision under State or other law, including case law, a covered
entity may provide or deny access under § 164.524 to a parent, guardian, or other person
acting in loco parentis, if such action is consistent with State or other applicable law,
provided that such decision must be made by a licensed health care professional, in the
exercise of professional judgment. (4)
Implementation specification: Deceased individuals. If under applicable law an executor,
administrator, or other person has authority to act on behalf of a deceased individual or of the
individual's estate, a covered entity must treat such person as a personal representative under this
subchapter, with respect to protected health information relevant to such personal representation. (5)
Implementation specification: Abuse, neglect, endangerment situations.",org,null,regulated,improper handling of deceased individual's PHI,An org must treat a person with legal authority to act on behalf of a deceased individual as their personal representative for relevant protected health information.,null,person has legal authority to act on behalf of a deceased individual or their estate,TRUE,access_check; attest_check,null,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0021,"Notwithstanding a State law
or any requirement of this paragraph to the contrary, a covered entity may elect not to treat a person
as the personal representative, provided that the conditions at paragraphs (g)(5)(i) and (ii) of this
section are met:
(i)
Paragraphs (g)(5)(i)(A) and (B) of this section both apply. (A)
The covered entity has a reasonable belief that any of the following is true:
(1)
The individual has been or may be subjected to domestic violence, abuse, or neglect
by such person. (2)
Treating such person as the personal representative could endanger the individual. (B)
The covered entity, in the exercise of professional judgment, decides that it is not in the
best interest of the individual to treat the person as the individual's personal
representative.",org,null,regulated,endangerment of an individual,An org must exercise professional judgment to decide if it is not in the best interest of the individual to treat a person as their personal representative.,null,"when there is a reasonable belief the individual may be subjected to domestic violence, abuse, or neglect by a person; when there is a reasonable belief that treating a person as the personal representative could endanger the individual",TRUE,attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0022,"(ii)
The covered entity does not have a reasonable belief under paragraph (g)(5)(i)(A) of this
section if the basis for their belief is the provision or facilitation of reproductive health care by
such person for and at the request of the individual. (h)
Standard: Confidential communications. A covered health care provider or health plan must comply with
the applicable requirements of § 164.522(b) in communicating protected health information. (i)
Standard: Uses and disclosures consistent with notice.",provider; org,null,null,unauthorized PHI disclosure,A covered health care provider or health plan must comply with the applicable requirements of § 164.522(b) when communicating protected health information.,null,when communicating protected health information,TRUE,log_check; config_check; attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0022,"(ii)
The covered entity does not have a reasonable belief under paragraph (g)(5)(i)(A) of this
section if the basis for their belief is the provision or facilitation of reproductive health care by
such person for and at the request of the individual. (h)
Standard: Confidential communications. A covered health care provider or health plan must comply with
the applicable requirements of § 164.522(b) in communicating protected health information. (i)
Standard: Uses and disclosures consistent with notice.",entity,null,null,misuse of reproductive health information,An entity shall not form a reasonable belief under paragraph (g)(5)(i)(A) if the basis for the belief is the provision or facilitation of reproductive health care for an individual at their request.,null,basis for belief is the provision or facilitation of reproductive health care,TRUE,attest_check; log_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0023,"A covered entity that is required by § 164.520 to
have a notice may not use or disclose protected health information in a manner inconsistent with such
notice. A covered entity that is required by § 164.520(b)(1)(iii) to include a specific statement in its notice
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.502(g)(3)(ii)(A)",org,null,regulated,use of PHI inconsistent with public notice,The org shall not use or disclose protected health information in a manner inconsistent with its privacy notice.,null,when required by § 164.520 to have a notice,TRUE,io_check; log_check; config_check; attest_check,privacy notice,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0003,"(b)-(d) [Reserved]
(e)
(1)
Standard: Business associate contracts. (i)
The contract or other arrangement required by § 164.502(e)(2) must meet the requirements of
paragraph (e)(2), (e)(3), or (e)(5) of this section, as applicable. (ii)
A covered entity is not in compliance with the standards in § 164.502(e) and this paragraph, if
the covered entity knew of a pattern of activity or practice of the business associate that
constituted a material breach or violation of the business associate's obligation under the
contract or other arrangement, unless the covered entity took reasonable steps to cure the
breach or end the violation, as applicable, and, if such steps were unsuccessful, terminated the
contract or arrangement, if feasible. (iii) A business associate is not in compliance with the standards in § 164.502(e) and this
paragraph, if the business associate knew of a pattern of activity or practice of a subcontractor
that constituted a material breach or violation of the subcontractor's obligation under the
contract or other arrangement, unless the business associate took reasonable steps to cure the
breach or end the violation, as applicable, and, if such steps were unsuccessful, terminated the
contract or arrangement, if feasible.",org; business associate,null,regulated,Non-compliant third-party data handling,"The org must ensure that its contract or other arrangement with a business associate meets the requirements of paragraph (e)(2), (e)(3), or (e)(5) of this section.",null,When establishing a contract with a business associate,TRUE,attest_check,Business associate contract,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0003,"(b)-(d) [Reserved]
(e)
(1)
Standard: Business associate contracts. (i)
The contract or other arrangement required by § 164.502(e)(2) must meet the requirements of
paragraph (e)(2), (e)(3), or (e)(5) of this section, as applicable. (ii)
A covered entity is not in compliance with the standards in § 164.502(e) and this paragraph, if
the covered entity knew of a pattern of activity or practice of the business associate that
constituted a material breach or violation of the business associate's obligation under the
contract or other arrangement, unless the covered entity took reasonable steps to cure the
breach or end the violation, as applicable, and, if such steps were unsuccessful, terminated the
contract or arrangement, if feasible. (iii) A business associate is not in compliance with the standards in § 164.502(e) and this
paragraph, if the business associate knew of a pattern of activity or practice of a subcontractor
that constituted a material breach or violation of the subcontractor's obligation under the
contract or other arrangement, unless the business associate took reasonable steps to cure the
breach or end the violation, as applicable, and, if such steps were unsuccessful, terminated the
contract or arrangement, if feasible.",business associate,null,regulated,Unmitigated sub-processor data breach,"A business associate must take reasonable steps to cure the breach or end the violation by a subcontractor, and if such steps are unsuccessful, must terminate the contract or arrangement if feasible.",null,Upon knowledge of a subcontractor's material breach or violation of its contract,TRUE,log_check; attest_check,null,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0003,"(b)-(d) [Reserved]
(e)
(1)
Standard: Business associate contracts. (i)
The contract or other arrangement required by § 164.502(e)(2) must meet the requirements of
paragraph (e)(2), (e)(3), or (e)(5) of this section, as applicable. (ii)
A covered entity is not in compliance with the standards in § 164.502(e) and this paragraph, if
the covered entity knew of a pattern of activity or practice of the business associate that
constituted a material breach or violation of the business associate's obligation under the
contract or other arrangement, unless the covered entity took reasonable steps to cure the
breach or end the violation, as applicable, and, if such steps were unsuccessful, terminated the
contract or arrangement, if feasible. (iii) A business associate is not in compliance with the standards in § 164.502(e) and this
paragraph, if the business associate knew of a pattern of activity or practice of a subcontractor
that constituted a material breach or violation of the subcontractor's obligation under the
contract or other arrangement, unless the business associate took reasonable steps to cure the
breach or end the violation, as applicable, and, if such steps were unsuccessful, terminated the
contract or arrangement, if feasible.",org,null,regulated,Unmitigated third-party data breach,"The org must take reasonable steps to cure the breach or end the violation by a business associate, and if such steps are unsuccessful, must terminate the contract or arrangement if feasible.",null,Upon knowledge of a business associate's material breach or violation of its contract,TRUE,log_check; attest_check,null,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0004,"(2)
Implementation specifications: Business associate contracts. A contract between the covered entity
and a business associate must:
(i)
Establish the permitted and required uses and disclosures of protected health information by
the business associate. The contract may not authorize the business associate to use or
further disclose the information in a manner that would violate the requirements of this
subpart, if done by the covered entity, except that:
(A)
The contract may permit the business associate to use and disclose protected health
information for the proper management and administration of the business associate, as
provided in paragraph (e)(4) of this section; and
(B)
The contract may permit the business associate to provide data aggregation services
relating to the health care operations of the covered entity. (ii)
Provide that the business associate will:
(A)
Not use or further disclose the information other than as permitted or required by the
contract or as required by law;
(B)
Use appropriate safeguards and comply, where applicable, with subpart C of this part with
respect to electronic protected health information, to prevent use or disclosure of the
information other than as provided for by its contract;
(C)
Report to the covered entity any use or disclosure of the information not provided for by its
contract of which it becomes aware, including breaches of unsecured protected health
information as required by § 164.410;
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(b)",org,null,regulated,Ambiguous data handling permissions,An org must ensure its contract with a business associate establishes the permitted and required uses and disclosures of protected health information.,null,when creating a business associate contract,TRUE,attest_check,business associate contract,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0004,"(2)
Implementation specifications: Business associate contracts. A contract between the covered entity
and a business associate must:
(i)
Establish the permitted and required uses and disclosures of protected health information by
the business associate. The contract may not authorize the business associate to use or
further disclose the information in a manner that would violate the requirements of this
subpart, if done by the covered entity, except that:
(A)
The contract may permit the business associate to use and disclose protected health
information for the proper management and administration of the business associate, as
provided in paragraph (e)(4) of this section; and
(B)
The contract may permit the business associate to provide data aggregation services
relating to the health care operations of the covered entity. (ii)
Provide that the business associate will:
(A)
Not use or further disclose the information other than as permitted or required by the
contract or as required by law;
(B)
Use appropriate safeguards and comply, where applicable, with subpart C of this part with
respect to electronic protected health information, to prevent use or disclosure of the
information other than as provided for by its contract;
(C)
Report to the covered entity any use or disclosure of the information not provided for by its
contract of which it becomes aware, including breaches of unsecured protected health
information as required by § 164.410;
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(b)",org,null,regulated,Non-compliant PHI disclosure by proxy,An org's contract must not authorize a business associate to use or disclose protected health information in a manner that would violate regulatory requirements if done by the org.,for the business associate's proper management and administration; for data aggregation services related to the covered entity's health care operations,when creating a business associate contract,TRUE,attest_check,business associate contract,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0004,"(2)
Implementation specifications: Business associate contracts. A contract between the covered entity
and a business associate must:
(i)
Establish the permitted and required uses and disclosures of protected health information by
the business associate. The contract may not authorize the business associate to use or
further disclose the information in a manner that would violate the requirements of this
subpart, if done by the covered entity, except that:
(A)
The contract may permit the business associate to use and disclose protected health
information for the proper management and administration of the business associate, as
provided in paragraph (e)(4) of this section; and
(B)
The contract may permit the business associate to provide data aggregation services
relating to the health care operations of the covered entity. (ii)
Provide that the business associate will:
(A)
Not use or further disclose the information other than as permitted or required by the
contract or as required by law;
(B)
Use appropriate safeguards and comply, where applicable, with subpart C of this part with
respect to electronic protected health information, to prevent use or disclosure of the
information other than as provided for by its contract;
(C)
Report to the covered entity any use or disclosure of the information not provided for by its
contract of which it becomes aware, including breaches of unsecured protected health
information as required by § 164.410;
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(b)",business associate,null,regulated,Unauthorized PHI disclosure due to inadequate security,A business associate must use appropriate safeguards to prevent use or disclosure of protected health information not provided for by its contract.,null,when handling electronic protected health information,TRUE,config_check; attest_check,null,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0004,"(2)
Implementation specifications: Business associate contracts. A contract between the covered entity
and a business associate must:
(i)
Establish the permitted and required uses and disclosures of protected health information by
the business associate. The contract may not authorize the business associate to use or
further disclose the information in a manner that would violate the requirements of this
subpart, if done by the covered entity, except that:
(A)
The contract may permit the business associate to use and disclose protected health
information for the proper management and administration of the business associate, as
provided in paragraph (e)(4) of this section; and
(B)
The contract may permit the business associate to provide data aggregation services
relating to the health care operations of the covered entity. (ii)
Provide that the business associate will:
(A)
Not use or further disclose the information other than as permitted or required by the
contract or as required by law;
(B)
Use appropriate safeguards and comply, where applicable, with subpart C of this part with
respect to electronic protected health information, to prevent use or disclosure of the
information other than as provided for by its contract;
(C)
Report to the covered entity any use or disclosure of the information not provided for by its
contract of which it becomes aware, including breaches of unsecured protected health
information as required by § 164.410;
45 CFR Part 164 Subpart E (up to date as of 9/29/2025)
Privacy of Individually Identifiable Health Information
45 CFR 164.504(b)",business associate,null,regulated,Unauthorized PHI use or disclosure,A business associate shall not use or further disclose protected health information other than as permitted or required by the contract or as required by law.,if required by law; if permitted or required by the contract,when handling protected health information,TRUE,log_check; attest_check,null,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0005,"(D)
In accordance with § 164.502(e)(1)(ii), ensure that any subcontractors that create, receive,
maintain, or transmit protected health information on behalf of the business associate
agree to the same restrictions and conditions that apply to the business associate with
respect to such information;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) To the extent the business associate is to carry out a covered entity's obligation under this
subpart, comply with the requirements of this subpart that apply to the covered entity in
the performance of such obligation. (I)
Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from, or created or received by the business
associate on behalf of, the covered entity available to the Secretary for purposes of
determining the covered entity's compliance with this subpart; and
(J)
At termination of the contract, if feasible, return or destroy all protected health information
received from, or created or received by the business associate on behalf of, the covered
entity that the business associate still maintains in any form and retain no copies of such
information or, if such return or destruction is not feasible, extend the protections of the
contract to the information and limit further uses and disclosures to those purposes that
make the return or destruction of the information infeasible. (iii) Authorize termination of the contract by the covered entity, if the covered entity determines that
the business associate has violated a material term of the contract. (3)
Implementation specifications: Other arrangements.",business associate,null,regulated,Unauthorized PHI disclosure by subcontractors,The business associate shall ensure that any subcontractors handling protected health information agree to the same data protection restrictions and conditions that apply to the business associate.,null,When using subcontractors to handle PHI,TRUE,attest_check,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0005,"(D)
In accordance with § 164.502(e)(1)(ii), ensure that any subcontractors that create, receive,
maintain, or transmit protected health information on behalf of the business associate
agree to the same restrictions and conditions that apply to the business associate with
respect to such information;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) To the extent the business associate is to carry out a covered entity's obligation under this
subpart, comply with the requirements of this subpart that apply to the covered entity in
the performance of such obligation. (I)
Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from, or created or received by the business
associate on behalf of, the covered entity available to the Secretary for purposes of
determining the covered entity's compliance with this subpart; and
(J)
At termination of the contract, if feasible, return or destroy all protected health information
received from, or created or received by the business associate on behalf of, the covered
entity that the business associate still maintains in any form and retain no copies of such
information or, if such return or destruction is not feasible, extend the protections of the
contract to the information and limit further uses and disclosures to those purposes that
make the return or destruction of the information infeasible. (iii) Authorize termination of the contract by the covered entity, if the covered entity determines that
the business associate has violated a material term of the contract. (3)
Implementation specifications: Other arrangements.",business associate,null,regulated,Lack of transparency in data sharing,The business associate shall make available the information required to provide an accounting of disclosures of protected health information in accordance with § 164.528.,null,Upon request,TRUE,log_check; attest_check,accounting of disclosures,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0005,"(D)
In accordance with § 164.502(e)(1)(ii), ensure that any subcontractors that create, receive,
maintain, or transmit protected health information on behalf of the business associate
agree to the same restrictions and conditions that apply to the business associate with
respect to such information;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) To the extent the business associate is to carry out a covered entity's obligation under this
subpart, comply with the requirements of this subpart that apply to the covered entity in
the performance of such obligation. (I)
Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from, or created or received by the business
associate on behalf of, the covered entity available to the Secretary for purposes of
determining the covered entity's compliance with this subpart; and
(J)
At termination of the contract, if feasible, return or destroy all protected health information
received from, or created or received by the business associate on behalf of, the covered
entity that the business associate still maintains in any form and retain no copies of such
information or, if such return or destruction is not feasible, extend the protections of the
contract to the information and limit further uses and disclosures to those purposes that
make the return or destruction of the information infeasible. (iii) Authorize termination of the contract by the covered entity, if the covered entity determines that
the business associate has violated a material term of the contract. (3)
Implementation specifications: Other arrangements.",business associate,null,regulated,Obstruction of regulatory oversight,"The business associate shall make its internal practices, books, and records regarding PHI use and disclosure available to the Secretary for compliance audits.",null,Upon request from the Secretary,TRUE,attest_check,internal practices documentation; books and records,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0005,"(D)
In accordance with § 164.502(e)(1)(ii), ensure that any subcontractors that create, receive,
maintain, or transmit protected health information on behalf of the business associate
agree to the same restrictions and conditions that apply to the business associate with
respect to such information;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) To the extent the business associate is to carry out a covered entity's obligation under this
subpart, comply with the requirements of this subpart that apply to the covered entity in
the performance of such obligation. (I)
Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from, or created or received by the business
associate on behalf of, the covered entity available to the Secretary for purposes of
determining the covered entity's compliance with this subpart; and
(J)
At termination of the contract, if feasible, return or destroy all protected health information
received from, or created or received by the business associate on behalf of, the covered
entity that the business associate still maintains in any form and retain no copies of such
information or, if such return or destruction is not feasible, extend the protections of the
contract to the information and limit further uses and disclosures to those purposes that
make the return or destruction of the information infeasible. (iii) Authorize termination of the contract by the covered entity, if the covered entity determines that
the business associate has violated a material term of the contract. (3)
Implementation specifications: Other arrangements.",business associate,null,regulated,Improper data retention after contract termination,"The business associate shall return or destroy all protected health information upon contract termination, or if not feasible, extend contractual protections and limit further use.",null,At termination of the contract,TRUE,data_check; attest_check; config_check,null,4
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0005,"(D)
In accordance with § 164.502(e)(1)(ii), ensure that any subcontractors that create, receive,
maintain, or transmit protected health information on behalf of the business associate
agree to the same restrictions and conditions that apply to the business associate with
respect to such information;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) To the extent the business associate is to carry out a covered entity's obligation under this
subpart, comply with the requirements of this subpart that apply to the covered entity in
the performance of such obligation. (I)
Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from, or created or received by the business
associate on behalf of, the covered entity available to the Secretary for purposes of
determining the covered entity's compliance with this subpart; and
(J)
At termination of the contract, if feasible, return or destroy all protected health information
received from, or created or received by the business associate on behalf of, the covered
entity that the business associate still maintains in any form and retain no copies of such
information or, if such return or destruction is not feasible, extend the protections of the
contract to the information and limit further uses and disclosures to those purposes that
make the return or destruction of the information infeasible. (iii) Authorize termination of the contract by the covered entity, if the covered entity determines that
the business associate has violated a material term of the contract. (3)
Implementation specifications: Other arrangements.",business associate,null,regulated,Inaccurate personal health data,The business associate shall make protected health information available for amendment and incorporate any amendments in accordance with § 164.526.,null,Upon request from an individual,TRUE,log_check; data_check; attest_check,null,3
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0005,"(D)
In accordance with § 164.502(e)(1)(ii), ensure that any subcontractors that create, receive,
maintain, or transmit protected health information on behalf of the business associate
agree to the same restrictions and conditions that apply to the business associate with
respect to such information;
(E)
Make available protected health information in accordance with § 164.524;
(F)
Make available protected health information for amendment and incorporate any
amendments to protected health information in accordance with § 164.526;
(G)
Make available the information required to provide an accounting of disclosures in
accordance with § 164.528;
(H) To the extent the business associate is to carry out a covered entity's obligation under this
subpart, comply with the requirements of this subpart that apply to the covered entity in
the performance of such obligation. (I)
Make its internal practices, books, and records relating to the use and disclosure of
protected health information received from, or created or received by the business
associate on behalf of, the covered entity available to the Secretary for purposes of
determining the covered entity's compliance with this subpart; and
(J)
At termination of the contract, if feasible, return or destroy all protected health information
received from, or created or received by the business associate on behalf of, the covered
entity that the business associate still maintains in any form and retain no copies of such
information or, if such return or destruction is not feasible, extend the protections of the
contract to the information and limit further uses and disclosures to those purposes that
make the return or destruction of the information infeasible. (iii) Authorize termination of the contract by the covered entity, if the covered entity determines that
the business associate has violated a material term of the contract. (3)
Implementation specifications: Other arrangements.",business associate,null,regulated,Denial of individual access to personal health data,The business associate shall make protected health information available to individuals in accordance with § 164.524.,null,Upon request from an individual,TRUE,log_check; attest_check,null,4
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0007,"provided that the covered entity attempts in good faith to obtain satisfactory assurances as
required by paragraph (e)(2) of this section and § 164.314(a)(1), if applicable, and, if such
attempt fails, documents the attempt and the reasons that such assurances cannot be
obtained. (iii) The covered entity may omit from its other arrangements the termination authorization required
by paragraph (e)(2)(iii) of this section, if such authorization is inconsistent with the statutory
obligations of the covered entity or its business associate. (iv) A covered entity may comply with this paragraph and § 164.314(a)(1) if the covered entity
discloses only a limited data set to a business associate for the business associate to carry out
a health care operations function and the covered entity has a data use agreement with the
business associate that complies with §§ 164.514(e)(4) and 164.314(a)(1), if applicable. (4)
Implementation specifications: Other requirements for contracts and other arrangements.",org,null,regulated,third-party data misuse,The org must attempt in good faith to obtain satisfactory data protection assurances from its business associate.,null,when engaging a business associate,FALSE,null,null,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0007,"provided that the covered entity attempts in good faith to obtain satisfactory assurances as
required by paragraph (e)(2) of this section and § 164.314(a)(1), if applicable, and, if such
attempt fails, documents the attempt and the reasons that such assurances cannot be
obtained. (iii) The covered entity may omit from its other arrangements the termination authorization required
by paragraph (e)(2)(iii) of this section, if such authorization is inconsistent with the statutory
obligations of the covered entity or its business associate. (iv) A covered entity may comply with this paragraph and § 164.314(a)(1) if the covered entity
discloses only a limited data set to a business associate for the business associate to carry out
a health care operations function and the covered entity has a data use agreement with the
business associate that complies with §§ 164.514(e)(4) and 164.314(a)(1), if applicable. (4)
Implementation specifications: Other requirements for contracts and other arrangements.",org,null,regulated,lack of accountability for third-party risk,The org must document the failed attempt to obtain satisfactory assurances and the reasons why such assurances could not be obtained.,null,if an attempt to obtain satisfactory assurances from a business associate fails,TRUE,attest_check,documentation of failed assurance attempt,2
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0008,"(i)
The contract or other arrangement between the covered entity and the business associate may
permit the business associate to use the protected health information received by the business
associate in its capacity as a business associate to the covered entity, if necessary:
(A)
For the proper management and administration of the business associate; or
(B)
To carry out the legal responsibilities of the business associate. (ii)
The contract or other arrangement between the covered entity and the business associate may
permit the business associate to disclose the protected health information received by the
business associate in its capacity as a business associate for the purposes described in
paragraph (e)(4)(i) of this section, if:
(A)
The disclosure is required by law; or
(B)
(1)
The business associate obtains reasonable assurances from the person to whom the
information is disclosed that it will be held confidentially and used or further
disclosed only as required by law or for the purposes for which it was disclosed to
the person; and
(2)
The person notifies the business associate of any instances of which it is aware in
which the confidentiality of the information has been breached. (5)
Implementation specifications: Business associate contracts with subcontractors. The requirements
of § 164.504(e)(2) through (e)(4) apply to the contract or other arrangement required by §
164.502(e)(1)(ii) between a business associate and a business associate that is a subcontractor in
the same manner as such requirements apply to contracts or other arrangements between a covered
entity and business associate.",business_associate,null,regulated,Improper use of protected health information,"A business associate must only use protected health information for its own proper management, administration, or legal responsibilities if such use is permitted by its contract with the covered entity.",null,using protected health information for the business associate's own purposes,TRUE,attest_check; log_check,contract or other arrangement,1
HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0008,"(i)
The contract or other arrangement between the covered entity and the business associate may
permit the business associate to use the protected health information received by the business
associate in its capacity as a business associate to the covered entity, if necessary:
(A)
For the proper management and administration of the business associate; or
(B)
To carry out the legal responsibilities of the business associate. (ii)
The contract or other arrangement between the covered entity and the business associate may
permit the business associate to disclose the protected health information received by the
business associate in its capacity as a business associate for the purposes described in
paragraph (e)(4)(i) of this section, if:
(A)
The disclosure is required by law; or
(B)
(1)
The business associate obtains reasonable assurances from the person to whom the
information is disclosed that it will be held confidentially and used or further
disclosed only as required by law or for the purposes for which it was disclosed to
the person; and
(2)
The person notifies the business associate of any instances of which it is aware in
which the confidentiality of the information has been breached. (5)
Implementation specifications: Business associate contracts with subcontractors. The requirements
of § 164.504(e)(2) through (e)(4) apply to the contract or other arrangement required by §
164.502(e)(1)(ii) between a business associate and a business associate that is a subcontractor in
the same manner as such requirements apply to contracts or other arrangements between a covered
entity and business associate.",business_associate,null,regulated,Unauthorized secondary disclosure of PHI,A business associate must obtain reasonable assurances from a recipient that protected health information will be held confidentially and used only for its disclosed purpose or as required by law.,null,disclosing protected health information for the business associate's own purposes; disclosure is not required by law,TRUE,attest_check,recipient agreement with reasonable assurances,2
